type_arrow,layout,type_label,type_color,model,prompt_strategy,mean_mae,mean_similarity
directed,spiral,label,random_color,llama-3.2-90b-vision-instruct,zeroshot,0.6849098124098124,0.8000376861270825
directed,spiral,label,constant_color,claude-3.5-sonnet,cot,0.837718253968254,0.9331852855177158
directed,spiral,label,constant_color,claude-3.5-sonnet,zeroshot,0.7773214285714285,0.9069286635706915
directed,spiral,label,constant_color,qwen-2-vl-72b-instruct,cot,0.6977380952380952,0.8676993307689903
directed,spiral,label,constant_color,qwen-2-vl-72b-instruct,zeroshot,0.8223412698412698,0.9218079400819338
directed,spiral,label,constant_color,gemini-pro-1.5,cot,0.7840674603174603,0.9080033696094068
directed,spiral,label,constant_color,gemini-pro-1.5,zeroshot,0.8075396825396826,0.9190326758295025
directed,spiral,label,constant_color,gpt-4o-2024-08-06,cot,0.8248015873015874,0.9208784673358977
directed,spiral,label,constant_color,gpt-4o-2024-08-06,zeroshot,0.8232738095238095,0.9197816438377583
directed,spiral,label,constant_color,pixtral-12b,cot,0.7569841269841271,0.8863246747662382
directed,spiral,label,constant_color,pixtral-12b,zeroshot,0.6810119047619049,0.8570289544047285
directed,spiral,label,constant_color,llama-3.2-90b-vision-instruct,cot,0.7260515873015873,0.8697666916846483
directed,spiral,label,constant_color,llama-3.2-90b-vision-instruct,zeroshot,0.7889285714285714,0.8881738788816962
directed,random,unlabel,random_color,claude-3.5-sonnet,cot,0.9234325396825398,0.9630832903336772
directed,random,unlabel,random_color,claude-3.5-sonnet,zeroshot,0.9229960317460317,0.9682539989680082
directed,random,unlabel,random_color,qwen-2-vl-72b-instruct,cot,0.7349007936507936,0.8646198334259481
directed,random,unlabel,random_color,qwen-2-vl-72b-instruct,zeroshot,0.7502777777777778,0.8925423546611627
directed,random,unlabel,random_color,gemini-pro-1.5,cot,0.8890674603174602,0.9551446442274616
directed,random,unlabel,random_color,gemini-pro-1.5,zeroshot,0.8740079365079365,0.9432001997830172
directed,random,unlabel,random_color,gpt-4o-2024-08-06,cot,0.6102182539682539,0.8367636474292821
directed,random,unlabel,random_color,gpt-4o-2024-08-06,zeroshot,0.6573015873015873,0.8585235075811702
directed,random,unlabel,random_color,pixtral-12b,cot,0.7107738095238094,0.8681958005874414
directed,random,unlabel,random_color,pixtral-12b,zeroshot,0.769623015873016,0.8819293945648434
directed,random,unlabel,random_color,llama-3.2-90b-vision-instruct,cot,0.5541071428571429,0.7317681127781748
directed,random,unlabel,random_color,llama-3.2-90b-vision-instruct,zeroshot,0.5933531746031746,0.7216222281760206
directed,random,unlabel,constant_color,claude-3.5-sonnet,cot,0.7904014041514041,0.8803567713750781
directed,random,unlabel,constant_color,claude-3.5-sonnet,zeroshot,0.8037851037851038,0.8974518187761895
directed,random,unlabel,constant_color,qwen-2-vl-72b-instruct,cot,0.6252152014652015,0.8310957635042303
directed,random,unlabel,constant_color,qwen-2-vl-72b-instruct,zeroshot,0.6537118437118437,0.8262136636564555
directed,random,unlabel,constant_color,gemini-pro-1.5,cot,0.812554945054945,0.9139762906810962
directed,random,unlabel,constant_color,gemini-pro-1.5,zeroshot,0.8081105006105005,0.9116078696284646
directed,random,unlabel,constant_color,gpt-4o-2024-08-06,cot,0.6932203907203908,0.869625817228792
directed,random,unlabel,constant_color,gpt-4o-2024-08-06,zeroshot,0.6497420634920635,0.8463558371453109
directed,random,unlabel,constant_color,pixtral-12b,cot,0.5784645909645909,0.7868024687618509
directed,random,unlabel,constant_color,pixtral-12b,zeroshot,0.7287454212454212,0.8697241809169725
directed,random,unlabel,constant_color,llama-3.2-90b-vision-instruct,cot,0.6518666056166056,0.8537467147650215
directed,random,unlabel,constant_color,llama-3.2-90b-vision-instruct,zeroshot,0.7359844322344322,0.8826208310504647
directed,random,label,random_color,claude-3.5-sonnet,cot,0.8798076923076923,0.9440661210769907
directed,random,label,random_color,claude-3.5-sonnet,zeroshot,0.8244276556776556,0.935635777266212
